Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Dhoom Dhaam,Rishab Seth,Pratik Gandhi,Yami Gautam,,Jio Studios,hindi
2025,Mere Husband Ki Biwi,Mudassar Aziz,Arjun Kapoor,Rakul Preet Singh,Bhumi Pednekar,Pooja Entertainment,hindi
2025,Kaushaljis vs Kaushal,Seemaa Desai,Ashutosh Rana,Sheeba Chadha,Isha Talwar,Jio Studios,hindi
2025,Shaila,Saki Shah,Rohit Chaudhary,Sara Khan,Sonam Arora,Reliance Entertainment,hindi
2025,Crazxy,Girish Kohli,Sohum Shah,,,Sohum Shah Films,hindi
2025,Superboys of Malegaon,Reema Kagti,Adarsh Gourav,Vineet Kumar Singh,Shashank Arora,Amazon MGM Studios,hindi
2025,Dil Dosti Aur Dogs,Viral Shah,Neena Gupta,Masumeh Makhija,Sharad Kelkar,Jio Studios,hindi
2025,Nadaaniyan,Shauna Gautam,Ibrahim Ali Khan,Khushi Kapoor,Mahima Chaudhry,Dharmatic Entertainment,hindi
2025,Riwaj,Manoj Sati,Myra Sareen,Aftab Shivdasani,Adhvik Mahajan,Kashish Khan Production,hindi
2025,The Diplomat,Shivam Nair,John Abraham,Sadia Khateeb,Revathy,T-Series Films,hindi
2025,My Melbourne,Kabir KhanRima DasOnirImtiaz Ali,Ryanna Skye,Kat Stewart,Jake Ryan,Screen Australia,hindi
2025,Be Happy,Remo D'Souza,Abhishek Bachchan,Nora Fatehi,Nassar,Remo D'Souza Entertainment,hindi
2025,Inn Galiyon Mein,Avinash Das,Vivaan Shah,Avantika Dassani,Javed Jaffrey,Yadunath Films,hindi
2025,Aachari Baa,Hardik Gajjar,Neena Gupta,Vatsal Sheth,Apoorva Arora,Jio Studios,hindi
2025,Baida,Puneet Sharma,Sudhanshu Rai,Manisha Rai,Shobhit Sujay,MNM Entertainment,hindi
2025,Tumko Meri Kasam,Vikram Bhatt,Anupam Kher,Ishwak Singh,Adah Sharma,Indira Entertainment,hindi
2025,Pintu Ki Pappi,Shiv Hare,Shushant,Jaanyaa Joshi,Viidhi,Mythri Movie Makers,hindi
2025,Sikandar,AR Murugadoss,Salman Khan,Kajal Aggarwal,Rashmika Mandanna,Nadiadwala Grandson Entertainment,hindi
2025,Jaat,Gopichand Malineni,Sunny Deol,Randeep Hooda,Regina Cassandra,Mythri Movie Makers,hindi
2025,Chhorii 2,Vishal Furia,Nushrratt Bharuccha,Soha Ali Khan,Gashmeer Mahajani,T-Series Films,hindi
2025,Kesari Chapter 2,Karan Singh Tyagi,Akshay Kumar,R. Madhavan,Ananya Panday,Dharma Productions,hindi
