Name,Director,Cast,Studio,Table
Humans in the Loop,Aranya Sahay,Sonal MadhushankarRidhima SinghGita Guha,"Storiculture, Museum of Imagined Futures, SAUV Films",5
Heer Express,Umesh Shukla,Divita JunejaAshutosh RanaSanjay MishraGulshan GroverPrit Kamani,"Tulip Entertainment, Divisa Entertainment, Merry Go Round Studios",5
Love in Vietnam,Rahat Shah Kazmi,Shantanu MaheshwariAvneet KaurKhả Ngân,"Zee Studios, Blue Lotus Creatives, Innovations India, Rahat Kazmi Film Studios, Zebaish Entertainment, Tariq Khan Productions, Mango Tree Entertainment",5
Ek Chatur Naar,Umesh Shukla,Divya Khosla KumarNeil Nitin Mukesh,"T-Series Films, Merry Go Round Studios",5
Jugnuma: The Fable,Raam Reddy,Manoj BajpayeeDeepak DobriyalPriyanka BoseTillotama ShomeHiral SidhuAwan Pookot,"Prspctvs Productions, Maxmedia, Flip Films, Sikhya Entertainment",5
Aabeer Gulaal,Aarti S. Bagdi,Fawad KhanVaani Kapoor,"A Richer Lens Entertainment, Aarjay Pictures",5
Mannu Kya Karegga,Ssanjay Tripaathy,Vyom YadavSaachi BindraVinay PathakKumud MishraRajesh KumarCharu ShankarBrijendra Kala,Curious Eyes Cinema,5
Jolly LLB 3,Subhash Kapoor,Akshay KumarArshad WarsiHuma QureshiAmrita RaoSaurabh ShuklaGajraj Rao,"Star Studio18, Kangra Talkies",5
Nishaanchi,Anurag Kashyap,Aaishvary ThackerayVedika PintoMonika PanwarMohammed Zeeshan Ayyub,"Amazon MGM Studios, JAR Pictures, Flip Films",5
Ajey: The Untold Story of a Yogi,Ravindra Gautam,Anant JoshiParesh RawalDinesh Lal Yadav,Samrat Cinematics,5
Homebound,Neeraj Ghaywan,Ishaan KhatterVishal JethwaJanhvi Kapoor,Dharma Productions,5
Tu Meri Poori Kahani,Suhrita Das,Arhaan PateelShammi DuhanHirranya Ojha,Indira Entertainment,5
Sunny Sanskari Ki Tulsi Kumari,Shashank Khaitan,Varun DhawanJanhvi KapoorSanya MalhotraRohit Saraf,"Dharma Productions, Mentor Disciple Entertainment",6
Lord Curzon Ki Haveli,Anshuman Jha,Arjun MathurRasika DugalTanmay DhananiaZoha Rahman,"Golden Ratio Films, First Ray Films, Jetty Productions",6
Controll,Safdar Abbas,Thakur Anoop SinghRohit RoyPriya Anand,"Pen Studios, Yashi Studios",6
Bhagwat: Chapter One – Raakshas,Akshay Shere,Arshad WarsiJitendra KumarAyesha Kaduskar,"Jio Studios, Baweja Studios, Dog ‘n’ Bone Pictures. ZEE5",6
Greater Kalesh,Aditya Chandiok,Ahsaas ChannaSupriya Shukla,"Terrible Tinny Tales, Netflix",6
