Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Greater Kalesh,Aditya Chandiok,Ahsaas Channa, Supriya Shukla,,"Terrible Tinny Tales, Netflix",hindi
2025,WingMan,Anuj Gulati,Shashank Arora, Trimala Adhikari, Auritra Ghosh,Lionsgate Play,hindi
2025,Thamma,Aditya Sarpotdar,Ayushmann Khurrana, Rashmika Mandanna," Nawazuddin Siddiqui, Paresh Rawal",Maddock Films,hindi
2025,Ek Deewane Ki Deewaniyat,Milap Zaveri,Harshvardhan Rane, Sonam Bajwa,,"Desi Movies Factory, Play DMF",hindi
2025,The Taj Story,Tushar Amrish Goel,Paresh Rawal, Zakir Hussain," Amruta Khanvilkar, Sneha Wagh, Namit Das",Swarnim Global Services,hindi
2025,Single Salma,Nachiket Samant,Huma Qureshi, Sunny Singh, Shreyas Talpade,"Star Studio18, Elemen3 Entertainment",hindi
2025,Haq,Suparn Verma,Emraan Hashmi, Yami Gautam,,"Junglee Pictures, Insomnia Films, Baweja Studios",hindi
2025,Jatadhara,Venkat KalyanAbhishek Jaiswal,Sudheer Babu, Sonakshi Sinha, Divya Khosla Kumar,"Zee Studios, Ess Kay Gee Entertainment, Sudheer Babu Productions",hindi
2025,Jassi Weds Jassi,Paran Bawa,Harshh Vardhan Singh Deo, Rehmat Rattan," Ranvir Shorey, Sikandar Kher, Manu Rishi Chadha",Divinity Studio,hindi
2025,Baramulla,Aditya Suhas Jambhale,Manav Kaul, Bhasha Sumbli,,"Jio Studios, B62 Studios, Netflix",hindi
2025,De De Pyaar De 2,Anshul Sharma,Ajay Devgn, R. Madhavan, Rakul Preet Singh,"T-Series Films, Luv Films",hindi
2025,Agra,Kanu Behl,Mohit Agarwal, Priyanka Bose," Ruhani Sharma, Rahul Roy","Saregama, UFO Moviez, O28 Films",hindi
2025,Delhi,Devendra Malviya,Brijendra Kala, Samar Jai Singh, Siddharth Bharadwaj,Midas Touch Films,hindi
2025,Kaal Trighori,Nitin Vaidya,Arbaaz Khan, Rituparna Sengupta," Mahesh Manjrekar, Aditya Srivastava, Mugdha Godse, Rajesh Sharma","Pen Studios, Navin Productions",hindi
2025,Nishaanchi 2,Anurag Kashyap,Aaishvary Thackeray, Vedika Pinto," Monika Panwar, Mohammed Zeeshan Ayyub","Amazon MGM Studios, JAR Pictures, Flip Films, Amazon Prime Video",hindi
2025,Bahadur,Razneesh ‘Razy’ Ghai,Farhan Akhtar, Raashii Khanna,,"Excel Entertainment, Trigger Happy Studios",hindi
2025,Mastiii 4,Milap Zaveri,Riteish Deshmukh, Vivek Oberoi," Aftab Shivdasani, Arshad Warsi, Tusshar Kapoor, Shreya Sharma, Elnaaz Norouzi, Ruhi Singh","Balaji Motion Pictures, Waveband Production, Maruti International",hindi
2025,Tere Ishk Mein,Aanand L. Rai,Dhanush, Kriti Sanon,,"T-Series Films, Colour Yellow Productions",hindi
2025,Gustaakh Ishq,Vibhu Puri,Naseeruddin Shah, Fatima Sana Shaikh," Vijay Varma, Sharib Hashmi",Stage 5 Productions,hindi
2025,Me No Pause Me Play,Samar K Mukharjee,Kamya Panjabi, Deepshikha Nagpal," Manoj Kumar Sharma, Aman Verma, Sudha Chandran","Digi Filming, Mirrro Films",hindi
2025,Kaisi Ye Paheli,Ananyabrata Chakravorty,Rajit Kapoor, Sukant Goel," Chittaranjan Giri, Sadhana Singh",Take Pictures,hindi
2025,Dhurandhar,Aditya Dhar,Ranveer Singh, Akshaye Khanna," Sanjay Dutt, Arjun Rampal, R. Madhavan, Sara Arjun, Rakesh Bedi","Jio Studios, B62 Studios",hindi
2025,Kis Kisko Pyaar Karoon 2,Anukalp Goswami,Kapil Sharma, Manjot Singh," Hira Warina, Tridha Choudhury, Parul Gulati, Ayesha Khan","Star Studio18, Venus Worldwide Entertainment, Abbas-Mustan Film Production",hindi
2025,Saali Mohabbat,Tisca Chopra,Radhika Apte, Divyenndu," Anshumaan Pushkar, Anurag Kashyap","Stage 5 Prdoction, Jio Studios, ZEE5",hindi
2025,The Great Shamsuddin Family,Anusha Rizvi,Kritika Kamra, Shreya Dhanwanthary," Sheeba Chaddha, Farida Jalal, Purab Kohli","Star Studio18, Third World Films Production, JioHotstar",hindi
2025,Raat Akeli Hai: The Bansal Murders,Honey Trehan,Nawazuddin Siddiqui, Radhika Apte," Chitrangada Singh, Rajat Kapoor, Revathi, Deepti Naval, Sanjay Kapoor","RSVP Movies, MacGuffin Pictures",hindi
2025,Durlabh Prasad Ki Dusri Shadi,Siddhant Raj Singh,Sanjay Mishra, Mahima Chaudhry,,Eksha Entertainment,hindi
2025,Tu Meri Main Tera Main Tera Tu Meri,Sameer Vidwans,Kartik Aaryan, Ananya Panday," Neena Gupta, Jackie Shroff","Dharma Productions, Namah Pictures",hindi
